epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1893.5,0.70018,0.4059,0.90272,0.98297,0.9406,0.9699,0.84063,0.70565,0.40662,0.89464,0.007294,0.007294,0.007294
84,1916.28,0.69327,0.3989,0.90048,0.95991,0.93489,0.96184,0.83225,0.70638,0.40146,0.89933,0.007261,0.007261,0.007261
85,1937.52,0.70321,0.40361,0.90627,0.97138,0.93542,0.96777,0.83902,0.69102,0.40834,0.89631,0.007228,0.007228,0.007228
86,1958.58,0.69658,0.39805,0.90528,0.97138,0.92665,0.96805,0.83121,0.74435,0.40351,0.90746,0.007195,0.007195,0.007195
87,1981.97,0.69498,0.40402,0.90474,0.95581,0.93774,0.96587,0.83868,0.71977,0.40657,0.90121,0.007162,0.007162,0.007162
88,2003.91,0.68902,0.39496,0.90285,0.97549,0.9652,0.97215,0.84077,0.71652,0.38814,0.91027,0.007129,0.007129,0.007129
89,2026.04,0.68374,0.39381,0.89954,0.96885,0.9648,0.96892,0.83123,0.74599,0.39019,0.90568,0.007096,0.007096,0.007096
90,2047.38,0.69277,0.39816,0.89959,0.95689,0.96697,0.9684,0.83722,0.70299,0.37913,0.90296,0.007063,0.007063,0.007063
91,2069.71,0.68503,0.39499,0.89952,0.95947,0.96676,0.96804,0.84206,0.69551,0.38401,0.89408,0.00703,0.00703,0.00703
92,2090.61,0.68439,0.39467,0.89498,0.95749,0.94356,0.96504,0.84567,0.70352,0.39191,0.89491,0.006997,0.006997,0.006997
93,2112.04,0.6738,0.38925,0.89378,0.97638,0.96607,0.97345,0.84166,0.69718,0.39283,0.89344,0.006964,0.006964,0.006964
94,2134.8,0.68546,0.39926,0.90045,0.97809,0.95816,0.97023,0.84195,0.69689,0.38526,0.89401,0.006931,0.006931,0.006931
