epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,5832.24,0.52075,0.31771,0.85482,0.98966,0.96869,0.98,0.84927,0.68272,0.29387,0.86946,0.0047035,0.0047035,0.0047035
109,5885.85,0.52081,0.32037,0.85419,0.99041,0.96858,0.97978,0.85092,0.68306,0.29423,0.86952,0.004654,0.004654,0.004654
110,5937.98,0.51676,0.31223,0.85415,0.98839,0.97028,0.97988,0.84953,0.68337,0.29397,0.86953,0.0046045,0.0046045,0.0046045
111,5990.73,0.51231,0.31092,0.855,0.98715,0.97159,0.9799,0.85069,0.68341,0.29492,0.86929,0.004555,0.004555,0.004555
112,6044.88,0.51282,0.31319,0.85433,0.98871,0.97297,0.9798,0.85224,0.68346,0.29455,0.86989,0.0045055,0.0045055,0.0045055
113,6098.05,0.5084,0.30921,0.85485,0.9886,0.97315,0.9802,0.85266,0.68386,0.29498,0.87106,0.004456,0.004456,0.004456
114,6150.73,0.50508,0.30876,0.85302,0.98714,0.97057,0.98027,0.854,0.68258,0.29438,0.87084,0.0044065,0.0044065,0.0044065
115,6203.5,0.50732,0.30876,0.85548,0.98769,0.97105,0.98074,0.85364,0.68399,0.29615,0.87108,0.004357,0.004357,0.004357
116,6257.38,0.49969,0.30505,0.85143,0.98593,0.97004,0.98083,0.85536,0.68394,0.29566,0.87137,0.0043075,0.0043075,0.0043075
117,6309.72,0.49684,0.30531,0.85075,0.98719,0.96986,0.98058,0.85493,0.68368,0.29512,0.87088,0.004258,0.004258,0.004258
118,6362.69,0.49794,0.30313,0.85003,0.98833,0.97092,0.98047,0.85308,0.68426,0.29354,0.87075,0.0042085,0.0042085,0.0042085
119,6415.4,0.49111,0.30136,0.84822,0.98804,0.97112,0.98042,0.85256,0.68387,0.29391,0.8706,0.004159,0.004159,0.004159
120,6469.15,0.48933,0.29868,0.84946,0.9884,0.97118,0.98067,0.85205,0.68482,0.29364,0.871,0.0041095,0.0041095,0.0041095
121,6521.94,0.48949,0.30085,0.84691,0.98834,0.97113,0.98099,0.85463,0.68527,0.29432,0.87127,0.00406,0.00406,0.00406
122,6574.31,0.49706,0.30405,0.85069,0.98905,0.96952,0.98106,0.855,0.68554,0.29413,0.8713,0.0040105,0.0040105,0.0040105
123,6627.99,0.48187,0.29572,0.84671,0.98885,0.96917,0.98102,0.85679,0.68557,0.29432,0.87115,0.003961,0.003961,0.003961
124,6680.51,0.48611,0.29818,0.84645,0.98959,0.96845,0.98104,0.85459,0.68552,0.29468,0.87112,0.0039115,0.0039115,0.0039115
125,6733.13,0.47966,0.29532,0.84414,0.98912,0.96794,0.98121,0.85403,0.68553,0.29414,0.87116,0.003862,0.003862,0.003862
126,6786.02,0.48015,0.29616,0.84926,0.98947,0.96754,0.981,0.85539,0.68476,0.29416,0.87076,0.0038125,0.0038125,0.0038125
127,6840.23,0.47663,0.29308,0.84558,0.99016,0.96775,0.98123,0.85478,0.68436,0.29446,0.87075,0.003763,0.003763,0.003763
128,6892.71,0.47924,0.29628,0.84818,0.99014,0.9682,0.98113,0.85465,0.6829,0.29429,0.87026,0.0037135,0.0037135,0.0037135
129,6945.67,0.47096,0.28954,0.8464,0.9901,0.96862,0.98117,0.854,0.68352,0.29332,0.87033,0.003664,0.003664,0.003664
130,6999.22,0.47301,0.29035,0.84531,0.98969,0.96909,0.98115,0.85491,0.6836,0.29311,0.87033,0.0036145,0.0036145,0.0036145
131,7051.89,0.4741,0.28981,0.84751,0.98987,0.96907,0.98134,0.85487,0.6839,0.29311,0.87021,0.003565,0.003565,0.003565
132,7105.61,0.47062,0.28902,0.84672,0.99,0.96939,0.98133,0.85536,0.68455,0.29336,0.87057,0.0035155,0.0035155,0.0035155
133,7159.26,0.46866,0.28721,0.84437,0.98998,0.96971,0.9813,0.85824,0.68458,0.29285,0.87052,0.003466,0.003466,0.003466
134,7214.61,0.46948,0.28687,0.84659,0.98894,0.97064,0.98137,0.85855,0.68461,0.29316,0.87039,0.0034165,0.0034165,0.0034165
135,7266.72,0.46941,0.28622,0.84655,0.98931,0.97111,0.98126,0.85868,0.68445,0.2934,0.87029,0.003367,0.003367,0.003367
136,7318.9,0.45427,0.28168,0.84159,0.98988,0.97113,0.98121,0.85888,0.68495,0.2941,0.87046,0.0033175,0.0033175,0.0033175
137,7372.43,0.45465,0.28044,0.84148,0.99056,0.97173,0.98126,0.85917,0.68495,0.29398,0.87046,0.003268,0.003268,0.003268
138,7426.01,0.45242,0.28075,0.84143,0.99069,0.972,0.98131,0.85758,0.68461,0.29359,0.87035,0.0032185,0.0032185,0.0032185
139,7478.48,0.45356,0.27921,0.84047,0.99021,0.97165,0.98132,0.85795,0.68381,0.29339,0.87025,0.003169,0.003169,0.003169
140,7530.61,0.45417,0.28165,0.84222,0.99084,0.97224,0.98133,0.85839,0.68408,0.29283,0.87046,0.0031195,0.0031195,0.0031195
141,7585.23,0.45513,0.28207,0.84094,0.99083,0.97246,0.98135,0.85872,0.6839,0.29267,0.87043,0.00307,0.00307,0.00307
142,7637.98,0.44682,0.27572,0.84058,0.99077,0.9728,0.98152,0.85766,0.6836,0.29167,0.87023,0.0030205,0.0030205,0.0030205
143,7691.99,0.44252,0.27394,0.83709,0.99088,0.97306,0.98149,0.85808,0.68344,0.29142,0.87007,0.002971,0.002971,0.002971
144,7744.32,0.45026,0.27671,0.84151,0.99081,0.97307,0.98151,0.85758,0.68366,0.29201,0.87009,0.0029215,0.0029215,0.0029215
145,7798.98,0.4423,0.27493,0.84191,0.99063,0.97302,0.98156,0.85746,0.68336,0.29265,0.87012,0.002872,0.002872,0.002872
146,7851.38,0.44041,0.27182,0.83942,0.99058,0.97298,0.98162,0.85643,0.68339,0.29252,0.8703,0.0028225,0.0028225,0.0028225
147,7904.59,0.44047,0.26979,0.83662,0.9905,0.97262,0.98166,0.85681,0.68453,0.29414,0.87039,0.002773,0.002773,0.002773
148,7957.49,0.43234,0.26888,0.83763,0.99036,0.97263,0.98184,0.85715,0.6843,0.29395,0.87032,0.0027235,0.0027235,0.0027235
149,8011.85,0.4307,0.26683,0.83589,0.99027,0.97266,0.98166,0.85957,0.68465,0.29498,0.8705,0.002674,0.002674,0.002674
150,8064.86,0.43098,0.26707,0.8381,0.99014,0.97275,0.98155,0.85792,0.68514,0.29522,0.87061,0.0026245,0.0026245,0.0026245
