epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,2964.97,0.33168,0.24615,0.81782,0.96542,0.96925,0.98603,0.88439,0.46298,0.26919,0.92762,0.0001916,0.0001916,0.0001916
139,2985.83,0.33494,0.24754,0.8161,0.96751,0.96798,0.98612,0.88701,0.46371,0.26844,0.92783,0.0001784,0.0001784,0.0001784
140,3007.21,0.33338,0.24554,0.81659,0.97097,0.96379,0.98646,0.8878,0.46191,0.2692,0.92621,0.0001652,0.0001652,0.0001652
141,3029.72,0.3133,0.23288,0.80855,0.97331,0.96392,0.98677,0.88942,0.45955,0.26939,0.92526,0.000152,0.000152,0.000152
142,3050.66,0.31124,0.23309,0.81012,0.96927,0.96616,0.98613,0.88851,0.45928,0.26856,0.92523,0.0001388,0.0001388,0.0001388
143,3071.02,0.30837,0.2299,0.80962,0.97152,0.96479,0.98613,0.88586,0.46141,0.26866,0.92588,0.0001256,0.0001256,0.0001256
144,3092.29,0.30891,0.23059,0.80786,0.97277,0.9636,0.98554,0.88527,0.45741,0.26884,0.92469,0.0001124,0.0001124,0.0001124
145,3113.11,0.30876,0.2314,0.80995,0.9705,0.96553,0.98606,0.88943,0.45826,0.26815,0.92436,9.92e-05,9.92e-05,9.92e-05
146,3134.12,0.30672,0.22879,0.80738,0.97394,0.96362,0.98594,0.88953,0.45753,0.26767,0.92499,8.6e-05,8.6e-05,8.6e-05
147,3155.08,0.30749,0.23002,0.8074,0.97183,0.96379,0.9857,0.88767,0.45883,0.26778,0.92575,7.28e-05,7.28e-05,7.28e-05
148,3175.69,0.30426,0.22722,0.80712,0.96808,0.96617,0.9857,0.88674,0.45919,0.26792,0.92633,5.96e-05,5.96e-05,5.96e-05
149,3196.5,0.30229,0.22738,0.80756,0.96473,0.96798,0.98531,0.88749,0.45895,0.26739,0.92646,4.64e-05,4.64e-05,4.64e-05
150,3217.85,0.30499,0.22967,0.80887,0.96416,0.96769,0.9855,0.88683,0.45666,0.26752,0.92504,3.32e-05,3.32e-05,3.32e-05
